Fecha,Hash TX de los tokens recibidos a recomprar,Wallet del inversor,Proyecto,Tokens,Valor del token,Divisa del Proyecto,Divisa de pago,Amount
7/11/2025,,inv_76a39cba,CLVM-2,4.130,100,EUR,EUR,€413.00
7/11/2025,,inv_76a39cba,MIA-1,5.761,100,USD,EUR,€497.83
7/11/2025,,inv_76a39cba,JAX-3,0.375,100,USD,EUR,€32.44
7/11/2025,,inv_76a39cba,JAX-5,0.123,100,USD,EUR,€10.59
7/11/2025,,inv_76a39cba,MIA-3,0.271,100,USD,EUR,€23.46
7/11/2025,,inv_76a39cba,MLG-8,0.118,100,EUR,EUR,€11.76
7/11/2025,,inv_76a39cba,RDO-6,11.718,100,USD,EUR,"€1,012.63"
7/11/2025,,inv_76a39cba,MAD-3,0.737,100,EUR,EUR,€73.65
7/11/2025,,inv_76a39cba,PRO-100,1.731,100,USD,EUR,€149.62
7/11/2025,,inv_76a39cba,RET-1,0.131,100,EUR,EUR,€13.07
19/11/2025,,inv_5d4d8114,DBX-1,100.000,103,USD,USDT,"USDT 10,300.00"
20/11/2025,,inv_5d4d8114,VLC-12,50.000,103,EUR,USDT,"USDT 5,934.71"
21/11/2025,,inv_be24eee0,PAZ-1,334.950,103,USD,USDT,"USDT 34,500.00"
27/11/2025,,inv_b26d3893,PRO-100,60.000,98,USD,USDT,"5,880.00$"
27/11/2025,,inv_b26d3893,RENTAS 1,90.000,98,EUR,EUR,"8,820,00 EURO"
28/11/2025,,inv_190c7331,MIA-1,1.000,100,USD,USDT,USDT 100.00
28/11/2025,,inv_190c7331,MIA-1,49.000,100,USD,USDT,"USDT 4,900.00"
01/12/2025,,inv_be24eee0,PAZ-1,337.200,103,USD,USDT,"USDT 34,731.60"
01/12/2025,,inv_2ad4c3df,YCT-1,190.467,100,USD,EUR,"€16,370.18"
01/12/2025,,inv_2ad4c3df,RET-1,14.230,100,EUR,EUR,"€1,423.00"
01/12/2025,,inv_2ad4c3df,OVD-1,25.000,100,EUR,EUR,"€2,500.00"
01/12/2025,,inv_2ad4c3df,MLG-8,43.489,100,EUR,EUR,"€4,348.94"
01/12/2025,,inv_2ad4c3df,MLG-7,0.000,100,EUR,EUR,€0.00
01/12/2025,,inv_2ad4c3df,MLG-6,9.865,100,EUR,EUR,€986.53
03/12/2025,,inv_b26d3893,DBX-1,12.000,98,USD,EUR,1008.17 euros
5/12/2025,,inv_5d4d8114,DBX-1,101.046,101,USD,USDT,"USDT 10,205.66"
05/12/2025,,inv_190c7331,MIA-1,60.000,100,USD,USDT,"USDT 6,000.00"
10/12/2025,,inv_5a4e94a6,,,,USD,EUR,"1224,669 EURO"
11/12/2025,,inv_190c7331,MIA-1,37.000,100,USD,USDT,"USDT 3,700.00"
08/01/2026,,inv_0dcab146,JAX-5,100.000,100,USD,EUR,"8,558.71"
08/01/2026,,inv_0dcab146,MRB-1,250.000,100,EUR,EUR,"25,000.00"
12/01/2026,,inv_f5a7aa81,MIA-1,109.000,100,USD,EUR,"€9,362.65"
12/01/2026,,inv_f5a7aa81,ATL-1,9.790,100,USD,EUR,€840.90
12/01/2026,,inv_f5a7aa81,CMY-1,25.400,100,USD,EUR,"€2,181.75"
12/01/2026,,inv_f5a7aa81,CME-1,27.277,100,EUR,EUR,"€2,727.65"
12/01/2026,,0x33A436d170EC2CD1c8f9ebcEb63Ffa81e6e7816,MLG-2,98.871,100,EUR,EUR,"€9,887.05"
03/02/2026,,inv_9aa3e515,MIA-1,164.372,100,USD,USDT,16437.20878
3/3/2026,,inv_bca7760e,PRO-100,11.553,100,USD,EUR,"€994,8"
19/03/2026,,inv_3022dbcf,ABD-1,59.840,100,USD,USDT,"USDT 5,984.00"
24/03/2026,,inv_d4ad55c5,LVT-2,86.548,100,EUR,USDT,"USDT 10,000.00"
08/04/2026,,inv_617300bd,MLG-8,7.281,90,EUR,EUR,655.2808907
08/04/2026,,inv_617300bd,MRB-1,4.783,90,EUR,EUR,430.4667341
08/04/2026,,inv_617300bd,MAD-3,1.280,90,EUR,EUR,115.1891226
08/04/2026,,inv_617300bd,MIA-3,8.124,90,USD,EUR,624.9424054
08/04/2026,,inv_617300bd,BKL-2,60.917,90,USD,EUR,4685.953846
08/04/2026,,inv_617300bd,PAZ-1,42.101,90,USD,EUR,3238.537489
08/04/2026,,inv_617300bd,VLC-11,8.487,90,EUR,EUR,763.8402312
24/04/2026,,inv_1ae50871,DBX-2,58.470,100,USD,USDT,5847
28/04/2026,,inv_5c88b770,CDS-1,500.000,120,EUR,USDT,70278
29/04/2026,,inv_1ae50871,DBX-2,58.400,100,USD,USDT,5840
05/05/2026,,inv_1ae50871,DBX-2,100.440,100,USD,USDT,10.044 usdt
11/05/2026,,inv_80375ef0,LVT-2,40.000,100,EUR,EUR,4000
11/05/2026,,inv_80375ef0,RET-2,10.000,100,EUR,EUR,1000
11/05/2026,,inv_80375ef0,CME-1,50.000,100,EUR,EUR,5000
13/05/2026,,inv_b618758a,ABD-1,65.000,100,USD,USDT,6500
