Fecha de la op.,Wallet Comprador,Inmueble,Nº Tokens,Total Pago €,Wallet Vendedor,Hash Transacción de los tokens
03/06/2025,inv_df9fa26b,BKL-3,60,"5.311,05€",inv_3db5e783,
03/06/2025,inv_46967523,GRX-3,"2,994,342,341","2.994,34€",inv_14e385da,
05/06/2025,inv_3db5e783,VLC-10,"862,797,569","862,80€",inv_cb1a2b17,
05/06/2025,inv_3db5e783,VLC-9,5,"500,00€",inv_cb1a2b17,
05/06/2025,inv_3db5e783,VLC-8,"550,403,592","550,40€",inv_cb1a2b17,
05/06/2025,inv_46967523,PAZ-1,"1,326,724,162","1.153,67€",inv_cb1a2b17,
05/06/2025,inv_46967523,CDS-1,"157,481,947","157,48€",inv_cb1a2b17,
05/06/2025,inv_46967523,BKL-1,"443,832,793","385,94€",inv_cb1a2b17,
05/06/2025,inv_46967523,MBL-1,"945,546,076","945,55€",inv_cb1a2b17,
05/06/2025,inv_46967523,BKL-2,"180,038,567","156,56€",inv_cb1a2b17,
05/06/2025,inv_46967523,HOU-1,"82,128","714,16€",inv_cb1a2b17,
05/06/2025,inv_46967523,HOU-2,"51,465","447,52€",inv_cb1a2b17,
05/06/2025,inv_46967523,MAD-3,"6,906,419","69,06€",inv_cb1a2b17,
06/06/2025,inv_3db5e783,MLG-7,50,"5.000,00€",inv_b962944c,
09/06/2025,inv_46967523,GRX-3,"3,536,698,117","3.536,70€",inv_30830714,
10/06/2025,inv_3db5e783,CDP-3,50,"5.000,00€",inv_b962944c,
10/06/2025,inv_3db5e783,MLG-3,50,"5.000,00€",inv_b962944c,
10/06/2025,inv_46967523,MAD-3,50,"5.000,00€",inv_b962944c,
10/06/2025,inv_a9603d7a,MLG-7,"5,120,988,816","5.120,99€",inv_3db5e783,
10/06/2025,inv_a9603d7a,MAD-3,100,"10.000,00€",inv_c6270cc0,
10/06/2025,inv_a9603d7a,ATL-1,61,"5.312,66€",inv_c6270cc0,
10/06/2025,inv_a9603d7a,HOU-3,181,"15.763,80€",inv_c6270cc0,
