hash,token_address,tokens,vendedor,comprador,simbolo
0xde9514211b0a834ae53f9ab984d237f0554a2c2900342ba654b3f9cbf5d080e5,0x6b7c34c8a1ffd4238e702243f0ff005680037fad,1.0,0x58523dfd74b30d6f9230e782674bb438bcfd8622,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-VLC-8
0x8ffc0e526d215d19ea833fe005df1e20f628147fc1aa1e541e3ad0602d686855,0x820380fea111509a38297fa2971eee5b41a5aeca,0.16305047,0x0fc02d28d691eaf59b6d2dd25823766d83dc1aac,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-RDO-3
0xc5ca282b9c134671261ce9282b7b1ec947b444a2a3de21b9fd5e81d2aac3eff7,0xca53dd67cfa553d9e31c377602fb217dff9eadff,0.4808876,0x0fc02d28d691eaf59b6d2dd25823766d83dc1aac,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-SMA-2
0x04a26bdfca989f3e868e02a8d12f151696d9f8c2bd2b1be56351f265a32a675e,0xaca38d593f7775334fa1b84a865f19396f62f760,1.0,0xeb4ea3b80a787863c729fc6c28b68c64a5a27089,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-MLG-6
0xf4a0f06bdb8d6823f34bea1119d431c66e034a72d4ac0ec98790a68be37093c3,0x3b7455335fc7c3839167ed8fc173405908ffdf15,0.5,0xd73d0b5775caf7ff914d8643bc31bbfb1db2f3c6,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-TLM-2
0xe84678b8e0700455a8f07e73735cf231c9aaa9f70f30ff1f475b6acc5cd34fda,0x1998bc7570ae301154e0c3017acbb200b87ad1af,1.0,0x00052f4b152f55d68dc811c463d71620c645d53c,0x8b064b79f1f26009e2b1e35ae8e55eb04d5bec6c,Reental-IDX-1
0x7413b5d2c5f64308f08bdcb907c938d690374be958a632422a349fdb5158c866,0x7aa21fabd73e8d3aa5d5c5994af6b62cfcea3fe4,1.0,0x049967c7d41f1c9b65fad17988700a534eb75bf0,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-SHL-1
0x6d7d9bceb45a2eafb52be81f2dbbbe93839135c19830b7b476d0f820ff2d5c6b,0x1998bc7570ae301154e0c3017acbb200b87ad1af,0.99940892,0x00052f4b152f55d68dc811c463d71620c645d53c,0x597b0a5affb28059f315f6dfca6c67d365514a01,Reental-IDX-1
0xe5f90ac31a956d32e677755499eb36f0149856b5130a01da701cd4546f0925dd,0xac6b91d535bdedb731045ed823d2a6c3ad5b5177,0.00235405,0xd7c29b7bdff2e120af60efbbdd420b576abd3a72,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-OVD-1
0x981df24df098e3fcc9070eb02a22217ea6c7202ebd09014b3edd48bf47c6c8ba,0xaca38d593f7775334fa1b84a865f19396f62f760,0.11005984,0xb222b61c259e22546bfe9edd0b4eecc73aec3cf9,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-MLG-6
0xc9e289fc422136ec60ee1cf351ad0359325282cbec208a6bc180feb0c494ebe1,0x68f73061bdf369c2562f4c0ea4e940f362d1a97f,1.0,0xfb8482d3a050b09d9dd3d3fb44e858864ef649f8,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-ATL-1
0x0378e7e17937479385a8e5eed08f5f2a9eb6d6d9ba3438756bde0a32a390706b,0x7aa21fabd73e8d3aa5d5c5994af6b62cfcea3fe4,0.5,0x00052f4b152f55d68dc811c463d71620c645d53c,0xb64fbeef6b52207a4648308c56b84432b16e9b0f,Reental-SHL-1
0xb61d76e7390c6dd02691915627323957c330224e37ca1da05aa993e474b96b8a,0x9c09c8525c5baa3b254cb0a60d3565cfbd5c9f28,1.5,0xd73d0b5775caf7ff914d8643bc31bbfb1db2f3c6,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-JAX-3
0xc897138c1d00765a5da1ce9495a6592fb9bb47acde6da1f2c9dd2b045fa50306,0x9c09c8525c5baa3b254cb0a60d3565cfbd5c9f28,0.5,0x00052f4b152f55d68dc811c463d71620c645d53c,0x05e74a03af1b3c9ea1cd7569bffe2a26ed33b373,Reental-JAX-3
0x7e495bf32f2ae97c0d1cffca58f179c960e4339793eaa43c0144c9ffd02b157c,0xb5a1a4f29b7376c091d6f4c7689be4b7cd5a6d98,0.39678942,0x289d2e28b4bfa10199895b8cd055de76b11d0333,0x00052f4b152f55d68dc811c463d71620c645d53c,Reental-VLC-6
0x2e7b6e1f88304e10dd8d79ba2628a7cce455c9e741b4cf51e7501900a9ba5d14,0xcc4c1ce8d335bd40a0acf17b9ab08c030cc299aa,0.5,0x00052f4b152f55d68dc811c463d71620c645d53c,0xb64fbeef6b52207a4648308c56b84432b16e9b0f,Reental-PRO-100
